"doc_id","element_id","word_count","sd","ave_sentiment","topic","text"
"2730",1,20,0.452391948373448,0.0325732512641425,"Worth the Money","Sound quality is not that of 2900 rupees (MRP). I bought it for 1100, still it could have been better. Worth for 1100.
"
"10558",2,20,0.313049516849971,0.458530260724415,"Worth the Money","It a work horse, amazing sound and clarity, very comfortable. Used it for calls beyond 3 hrs and no ear ache.
"
"12074",3,15,0.1875,-0.144696939087365,"After-sales Service","Ordering it again because I lost first one. I wont go for any other product.
"
"13224",4,11,NA,-0.150755672288882,"Product Durability","Everything is best except for long wire....That's too long actually
"
"4580",5,12,0.301776695296637,0.0366116523516816,"Good Performance","The sound is amazing. However, while walikng, there is sometimes gibberish sound.
"
"11117",6,7,1.52318788929387,-0.0666935144590773,"Sound Clarity","Good sound quality. But very bad microphone.
"
"11587",7,11,NA,0.150906427961171,"Sound Clarity","Nothing to appreciate sounds like CX 180 but only Mic is added
"
"13818",8,1,NA,0.5,NA,"Like
"
"13167",9,7,NA,-0.0944911182523068,"After-sales Service","Did not work after 3 months of using
"
"9821",10,17,0.0337626265847083,0.373873782208716,"Bass Quality","base is ok but sound quality is worst... you can get better deal in this price range
"
"1091",11,48,NA,-0.0868551311212143,"Good Performance","This earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.
"
"11269",12,15,0.0433012701892219,-0.033416326693202,"Good Performance","Doesn't sound good at high volume . More expected from it keeping brand name in view.
"
"8302",13,13,0,0,"Excellent Performance","amassing bass.  Thats Senheiser.Just go for it if you want real sound.
"
"1357",14,39,0.212175171771491,0.113826668483452,"Brands","The headphone was working awesome. Till last Friday it was working fine. Since today morning the right earphone is not working. I am able to listen to music through left earphone but not able to listen through right earphone.
"
"5943",15,25,0.343849352328891,0.0359808069165487,"Worth the Money","Not a good product.No noise cancellation.Receiver is not able to hear.  The sounds echo so much.Waste of 2kI want my money back.
"
"6215",16,19,NA,0.458831467741123,"Product Durability","Sound quality isnâ€™t even touches the sound quality of EarPods (earphones which comes in the box  with iPhone)
"
"8762",17,2,NA,0.530330085889911,"Bad Performance","Good product
"
"2329",18,20,NA,0.0559016994374947,"Excellent Performance","DisgustedThis is what i am feelingThought its a brand so would work excellentIts Just keep on saying- oops btry low
"
"785",19,36,0.544647707455862,0.00833639597076007,"Battery Life","It's having battery life of 6 hours. The drawback is battery is not indicated properly. After 60 percent it will suddenly drop to 20 percent and the battery will die in 5 minutes. It can't handle too much of sweat.
"
"11584",20,8,NA,1.59099025766973,"Worth the Money","Very good sound quality & a good bass too...
"
"488",21,54,0.425694847278346,-0.468716811539175,"Excellent Performance","Let me tell you very frank bass is quite good not great, connectivity is worst, battery is average, expectations is high for my side as per brand but its response totally fail , disappointed me.last but not the least when i open the parcel seal is open  and box packaging in parcel is damage.
"
"8139",22,46,0.125350080804787,-0.200439291034336,"After-sales Service","It has good sound quality but I kind of not like it bcz mic has stopped working within a month which is a very bad review. If u want to buy any earphone then go for any other than this brand because it is costly also.
"
"12176",23,1,NA,0.5,"Bass Quality","Nice
"
"11701",24,6,NA,2.02082903779612,"Worth the Money","Very good sound quality,,,best quality
"
"4442",25,15,0.0625,0.0482323130291217,"Good Performance","noise reduction is good,very handy,clear sound.dis adv: bass will not be more.
"
"10164",26,22,0.867493524096158,0.795312272301059,"Good Performance","sound quality is very good...and also if where listening for long tym u will not feel any pain in your ears...
"
"102",27,76,0.253286840489595,0.0926770195402076,"Bad Performance","Just purchase it with your eyes closed man. In 1500 bucks no-one will ever give you such a Bass and good audio quality WIRELESS BLUETOOTH Earphone. Just don't think so much.I don't know about the lasting of the product but feeling the build it seems very premium. This is my first day usage review.===â‰ ====â‰ ===Writing after 5 months of usingOne of earbud stopped working without any reason today.Pathetic product I must say now
"
"5219",28,6,0.244948974278318,0.189031289656866,"Excellent Performance","Go for it..sound was awesome
"
"4364",29,5,NA,0,"Excellent Performance","Just ok for light use
"
"7874",30,44,0.289942503187335,-0.0915046451902165,"Battery Life","We can not use a minmium of 1 hour music also.Battery is decreasing (dropping)from 60 percent to 20 percent at a time and after that it is getting a voice like , plz charge the headset. Battery is draining . Full Waste of money. Dont buy it.
"
"8607",31,27,0.313404781182981,0.44341455081659,"Brands","This is one headphone I wish never to lose! This has given me every experience a music lover, especially an OST lover would want. I LOVE IT! <3
"
"10620",32,3,NA,-0.779422863405995,"Bad Performance","Very bad sound
"
"3920",33,2,NA,0.636396103067893,"Good Performance","Very nice
"
"1139",34,44,0.566713241822832,-0.261861645528336,"Good Performance","I will say it's ok , not the best around .And please never say in this price it's best , I have seen much better .Well it has not given any complaint as such , but there is a snag in the Bluetooth connection makes weird noises .
"
"1694",35,29,0.413004741699979,0.369076679274346,"Battery Life","I have been using boats products since long..And this a good product in this price range ..Sound quality is good....battery life is around 5 hours of intensive usage.
"
"2975",36,2,NA,0.353553390593274,"Ergonomics","Great headphones
"
"923",37,44,0.316087051789656,0.0930796140409226,"Excellent Performance","Good morning sir,This is Shiva your boat Bluetooth headset was good but sometimes voice calls not properly respond others voice perfectly not understanding after 2 calls attempting 3rd time it was properly respond.could you resolve this problem and give me your valuable solution.
"
"5836",38,59,0.419744402668993,-0.0313810306785741,"Bad Performance","I spent a lot of time researching for a pair of headphones/ earphones. Was quite unsure of what I should buy. Sometimes reading too many reviews causes paralysis by analysis.Have used JBL as speakers, so thought how bad can these be?They are not bad. Not bad at all.Great sound, comfortable on the ears.Go buy them.
"
"13614",39,4,NA,0.375,"Bad Performance","This product is good
"
"3757",40,19,0.507727169951636,0.09635065819879,"Worth the Money","Not so wow but a good entry level product. there could be a lot more better options out there
"
"6377",41,14,NA,0.267261241912424,"Bad Performance","Not gud sounds quality and not fir in ears plz give me other options
"
"12900",42,4,NA,-0.71875,"Bass Quality","Fine, but not good
"
"11530",43,1,NA,0.75,"Bass Quality","Good
"
"918",44,41,0.159238484647296,0.395013813147357,"Product Durability","The sound quality is just wow. It stays in ear preety well. I didn't notice any falling off from ear during running. It has flat cable ,but built quality of the cable seemed low. For 999 it is super value for money.
"
"11946",45,11,0.357828645495938,0.408175678640933,"Excellent Performance","Excellent product..if you are a music lover...go for it
"
"10266",46,33,0.289318689544667,0.355636790538318,"Excellent Performance","awesome product. Using it with my xperia z1 from past 3 months. Sound doesn't crack even at higher volume. Clear sound and amazing bass. A must buy product.. And thanks amazon for prompt delivery.
"
"5712",47,2,NA,0.530330085889911,"Worth the Money","worth paying
"
"11148",48,8,NA,1.39238164050396,"Bass Quality","Good product but built quality can be improved
"
"3626",49,21,NA,-0.109108945117996,"Regret Purchase","The item has not been taking charging so can not comment on anything as the product is unable to power on
"
"6486",50,1,NA,0.75,"Good Performance","Good
"
"6987",51,10,NA,0.158113883008419,"Bluetooth connectivity","Nice to hearing but ear bid not matched with ear.
"
